,lat,lon,00:00Z 27-Apr-2024,00:00Z 28-Apr-2024,00:00Z 29-Apr-2024,00:00Z 30-Apr-2024,00:00Z 01-May-2024,00:00Z 02-May-2024,00:00Z 03-May-2024,00:00Z 04-May-2024,00:00Z 05-May-2024
218,4.090523,104.18218,0.01,0.0,0.0,1.23,0.0,0.0,0.0,0.0,11.11
219,4.090523,104.26532,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,3.92
220,4.090523,104.34846,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,6.25
221,4.090523,104.43159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75
222,4.090523,104.514725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03
223,4.090523,104.59786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82
224,4.090523,104.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.33
225,4.090523,104.76414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05
226,4.090523,104.847275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
227,4.090523,104.930405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
228,4.090523,105.01354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,4.090523,105.09668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
230,4.090523,105.17982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03
231,4.090523,105.262955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
232,4.090523,105.346085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57
233,4.090523,105.42922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
234,4.090523,105.51236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.92
235,4.090523,105.5955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68
236,4.090523,105.678635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
237,4.090523,105.761765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
238,4.090523,105.8449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15
239,4.090523,105.92804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12
240,4.173439,96.03485,2.21,2.44,0.77,0.17,0.21,0.01,0.08,0.0,0.0
241,4.173439,96.11799,6.06,2.09,15.36,1.05,1.37,0.0,3.88,0.0,0.0
242,4.173439,96.201126,7.06,2.07,9.87,1.5,3.01,0.0,0.87,0.0,0.0
243,4.173439,96.28426,17.37,4.88,3.6,1.17,4.1,0.0,4.95,0.0,0.0
244,4.173439,96.36739,18.28,2.25,3.59,2.97,5.08,3.83,3.51,0.15,0.0
245,4.173439,96.45053,12.12,11.58,15.67,14.39,6.57,18.05,0.27,0.45,0.0
246,4.173439,96.53367,34.02,3.56,9.68,16.61,26.4,34.61,4.65,13.58,3.22
247,4.173439,96.616806,40.98,8.45,12.88,30.96,63.81,14.01,53.53,32.62,59.39
248,4.173439,96.69994,32.67,13.15,14.46,8.38,64.08,1.53,29.32,12.01,62.02
