,lat,lon,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024
320,4.173439,102.68574,0.36,0.0,0.0,0.0,0.0,0.0
321,4.173439,102.76887,4.43,0.0,0.0,0.01,0.0,0.0
322,4.173439,102.852005,1.24,0.0,0.0,0.14,0.0,0.0
323,4.173439,102.93514,12.99,0.0,0.0,0.0,0.0,0.0
324,4.173439,103.01828,32.05,0.02,0.0,0.0,0.01,0.0
325,4.173439,103.10142,2.19,0.0,0.0,0.0,0.06,0.0
326,4.173439,103.18455,1.06,0.0,0.04,0.0,0.0,0.0
327,4.173439,103.267685,11.28,0.0,0.1,0.0,0.03,0.0
328,4.173439,103.35082,0.41,0.02,0.0,0.0,5.5,0.03
329,4.173439,103.43396,1.14,0.0,0.34,0.0,0.63,0.0
330,4.173439,103.5171,4.3,0.0,0.53,0.16,0.14,0.01
331,4.173439,103.60023,0.4,0.0,0.15,0.15,0.17,0.5
332,4.173439,103.683365,0.37,0.12,0.14,0.21,4.98,0.34
333,4.173439,103.7665,0.29,0.1,0.08,0.03,0.94,0.19
334,4.173439,103.84964,0.15,0.0,0.0,0.27,2.29,5.91
335,4.173439,103.93278,0.03,0.21,0.08,0.5,0.6,0.42
336,4.173439,104.01591,0.25,0.59,3.2,0.24,0.56,2.94
337,4.173439,104.099045,0.88,0.11,0.03,0.56,0.15,3.52
338,4.173439,104.18218,0.02,1.08,0.11,0.12,0.49,0.12
339,4.173439,104.26532,0.14,0.01,0.98,0.5,0.21,0.02
340,4.173439,104.34846,0.12,0.0,0.4,0.36,0.03,0.32
341,4.173439,104.43159,0.01,0.07,0.13,0.07,0.02,0.5
342,4.173439,104.514725,0.0,0.09,0.01,1.33,0.13,0.16
343,4.173439,104.59786,0.0,0.05,0.04,0.07,0.14,0.71
344,4.173439,104.681,0.34,0.03,0.43,0.22,0.0,0.25
345,4.173439,104.76414,0.0,0.09,0.85,0.29,0.0,0.17
346,4.173439,104.847275,0.0,0.04,1.25,0.06,0.53,0.11
347,4.173439,104.930405,0.03,1.1,0.33,0.0,0.04,0.0
348,4.173439,105.01354,0.09,0.66,0.87,0.04,0.25,0.04
349,4.173439,105.09668,0.15,0.04,2.34,0.07,0.44,0.01
350,4.173439,105.17982,0.19,1.36,1.89,0.56,0.47,3.19
351,4.173439,105.262955,0.3,0.76,4.13,0.09,0.04,1.49
352,4.173439,105.346085,0.89,0.54,0.59,0.08,0.13,1.0
353,4.173439,105.42922,0.09,0.01,0.09,0.0,0.5,0.31
354,4.173439,105.51236,0.75,0.19,0.12,0.09,0.47,2.96
355,4.173439,105.5955,0.45,0.59,0.19,0.12,1.75,3.78
356,4.173439,105.678635,0.43,0.82,0.14,0.42,4.12,1.81
357,4.173439,105.761765,0.38,0.44,0.43,0.72,3.78,0.53
358,4.173439,105.8449,0.58,0.11,0.09,0.06,4.28,3.4
359,4.173439,105.92804,0.39,0.03,0.02,0.81,12.55,2.09
360,4.256363,96.03485,0.23,0.0,0.14,0.0,0.88,1.73
361,4.256363,96.11799,0.0,1.14,10.71,0.0,3.82,0.7
362,4.256363,96.201126,2.62,0.78,5.46,0.05,1.53,1.83
363,4.256363,96.28426,6.54,2.64,8.08,0.13,3.65,18.54
364,4.256363,96.36739,12.34,13.18,14.64,11.74,22.19,4.38
365,4.256363,96.45053,21.34,48.39,45.45,1.0,16.93,13.95
366,4.256363,96.53367,19.32,23.93,15.02,13.56,38.73,42.68
367,4.256363,96.616806,44.44,75.29,4.54,29.27,47.39,48.57
368,4.256363,96.69994,23.15,61.68,6.4,11.24,24.74,56.54
369,4.256363,96.78308,107.6,52.76,4.23,21.37,23.6,24.08
370,4.256363,96.86621,40.75,6.65,4.77,3.76,5.11,35.71
371,4.256363,96.94935,20.9,1.91,12.92,3.07,10.84,28.66
372,4.256363,97.032486,65.57,0.33,3.48,4.73,7.49,20.07
373,4.256363,97.11562,134.06,3.46,7.26,0.23,3.41,0.92
374,4.256363,97.19876,67.16,0.48,0.44,1.49,0.4,1.02
