,lat,lon,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024
222,4.090523,104.514725,0.21,0.01,0.29,0.0,0.0,1.79,3.55,8.16
223,4.090523,104.59786,0.32,0.0,4.25,0.0,0.0,1.06,4.21,6.37
224,4.090523,104.681,0.32,0.01,0.08,0.17,0.44,3.46,0.95,2.53
225,4.090523,104.76414,0.71,0.09,0.75,0.3,1.09,6.76,0.18,5.11
226,4.090523,104.847275,1.07,0.03,0.06,0.07,2.49,0.78,0.28,0.27
227,4.090523,104.930405,1.43,0.93,0.25,0.0,18.71,0.48,0.15,0.65
228,4.090523,105.01354,0.24,0.02,0.03,0.0,3.05,10.27,0.27,0.7
229,4.090523,105.09668,0.28,0.0,0.02,0.0,7.81,22.6,1.76,0.22
230,4.090523,105.17982,3.65,0.0,3.67,0.0,0.4,27.35,2.56,0.05
231,4.090523,105.262955,7.12,0.0,0.39,0.0,0.0,11.23,1.3,0.02
232,4.090523,105.346085,2.24,0.0,0.39,0.0,0.01,1.61,12.33,0.01
233,4.090523,105.42922,1.84,0.0,0.16,0.0,0.17,1.69,2.72,0.0
234,4.090523,105.51236,1.44,0.0,0.04,0.0,0.01,0.73,2.72,0.0
235,4.090523,105.5955,1.23,0.0,0.0,0.0,0.09,0.73,5.81,0.11
236,4.090523,105.678635,1.85,0.06,0.05,0.0,0.38,1.38,13.67,0.54
237,4.090523,105.761765,1.53,1.52,0.47,0.0,0.01,1.36,4.32,0.88
238,4.090523,105.8449,4.2,2.22,0.26,0.0,0.0,0.83,9.39,1.04
239,4.090523,105.92804,17.15,0.55,0.08,0.0,0.03,2.21,67.66,0.67
240,4.173439,96.03485,2.52,1.17,0.0,0.04,3.62,0.97,0.0,1.54
241,4.173439,96.11799,2.24,1.31,0.0,0.0,13.98,5.43,0.23,0.83
242,4.173439,96.201126,1.58,0.73,0.0,0.0,43.78,1.77,0.2,0.38
