,lat,lon,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024,00:00Z 12-Apr-2024,00:00Z 13-Apr-2024,00:00Z 14-Apr-2024
194,4.090523,102.18692,0.0,0.06,0.09,0.28,0.01,12.39,7.57,0.0,0.0,0.0
195,4.090523,102.27006,0.0,0.0,0.38,7.19,0.0,31.35,4.47,0.0,0.0,0.03
196,4.090523,102.35319,0.0,0.0,0.0,0.64,0.02,19.42,4.17,0.01,0.0,0.02
197,4.090523,102.436325,0.0,0.0,0.0,3.18,16.45,18.1,17.28,0.02,0.0,0.0
198,4.090523,102.51946,0.0,0.0,0.0,3.05,1.15,8.23,31.97,3.27,0.0,0.0
199,4.090523,102.6026,0.0,0.0,0.0,7.99,0.21,29.37,38.4,2.69,0.0,0.0
200,4.090523,102.68574,0.0,0.0,0.0,3.43,30.54,70.35,88.22,0.98,0.0,0.0
201,4.090523,102.76887,0.01,0.0,0.0,2.86,71.98,62.83,36.76,0.21,0.03,0.0
202,4.090523,102.852005,0.0,0.0,0.0,13.15,24.1,26.34,9.61,1.67,3.37,0.01
203,4.090523,102.93514,0.0,0.0,0.0,7.97,8.84,48.77,4.05,5.6,0.02,0.16
204,4.090523,103.01828,0.19,0.06,0.0,13.26,14.42,7.86,3.89,3.99,0.0,0.21
205,4.090523,103.10142,0.0,0.08,0.0,56.77,2.58,26.37,21.68,0.4,0.0,1.8
206,4.090523,103.18455,0.1,0.0,0.01,15.31,1.54,31.21,53.92,0.39,0.02,0.29
207,4.090523,103.267685,0.04,0.03,0.0,13.12,8.35,25.23,58.39,0.02,0.0,0.02
208,4.090523,103.35082,0.02,0.68,0.0,0.25,5.92,21.56,50.49,0.7,0.0,0.13
209,4.090523,103.43396,0.06,0.13,0.0,0.0,5.94,30.15,27.56,2.77,0.0,0.07
210,4.090523,103.5171,0.05,0.28,0.1,0.04,11.14,65.7,15.18,2.0,0.0,0.0
211,4.090523,103.60023,0.01,0.02,0.11,0.18,27.44,59.35,13.85,6.79,0.0,0.03
212,4.090523,103.683365,0.22,0.1,6.63,0.79,66.8,64.39,12.49,15.75,0.01,0.02
213,4.090523,103.7665,0.01,0.0,0.03,1.28,99.17,70.11,15.65,109.74,0.04,0.0
214,4.090523,103.84964,0.02,0.41,0.16,1.86,42.37,87.3,11.0,99.4,4.16,0.0
215,4.090523,103.93278,0.01,0.01,0.0,0.03,120.57,63.41,46.75,45.42,0.14,0.0
216,4.090523,104.01591,0.0,0.01,0.07,0.0,177.13,24.08,85.77,70.43,19.83,0.0
217,4.090523,104.099045,0.0,0.05,0.0,0.1,66.13,14.53,35.78,45.1,38.19,0.0
218,4.090523,104.18218,0.0,3.29,0.01,0.14,31.15,13.87,24.19,16.51,28.56,0.0
219,4.090523,104.26532,0.0,0.04,0.0,1.89,24.24,10.05,23.88,8.93,2.81,0.0
220,4.090523,104.34846,0.0,0.0,0.11,2.03,57.45,17.9,27.38,4.19,0.15,0.0
221,4.090523,104.43159,0.0,0.0,0.34,1.67,23.55,20.48,52.95,8.4,0.26,0.0
222,4.090523,104.514725,0.0,0.05,0.47,2.87,19.42,35.87,38.64,3.19,0.42,0.0
223,4.090523,104.59786,0.0,0.0,0.19,5.93,8.13,35.23,58.55,3.96,0.16,0.0
224,4.090523,104.681,0.01,0.0,0.1,2.61,20.54,44.11,31.46,2.82,8.41,0.0
225,4.090523,104.76414,0.01,0.0,0.63,3.61,16.23,15.63,41.35,4.78,2.66,0.0
226,4.090523,104.847275,0.79,0.0,0.16,0.11,54.12,27.09,20.21,2.14,6.0,0.0
227,4.090523,104.930405,1.23,0.01,0.49,1.55,13.45,17.86,14.5,1.87,46.43,0.0
228,4.090523,105.01354,0.22,0.0,0.12,2.89,12.61,35.28,21.57,2.41,12.64,0.02
229,4.090523,105.09668,0.33,0.0,0.39,6.08,7.8,31.8,31.51,3.87,0.1,0.21
230,4.090523,105.17982,1.26,0.0,7.48,8.77,15.69,15.26,73.99,3.84,0.02,0.0
231,4.090523,105.262955,1.28,0.0,1.16,10.07,3.61,19.92,67.22,5.43,0.12,0.0
232,4.090523,105.346085,0.9,0.0,0.04,3.1,2.79,13.73,25.26,5.09,0.91,0.0
233,4.090523,105.42922,0.32,0.45,5.32,6.67,2.76,18.64,30.5,4.78,0.0,0.02
234,4.090523,105.51236,1.49,3.64,0.03,13.65,1.03,3.58,45.83,3.29,0.03,0.89
235,4.090523,105.5955,14.2,15.75,0.02,1.53,1.21,1.72,31.92,1.7,0.0,0.14
236,4.090523,105.678635,22.21,36.01,0.82,9.26,0.0,4.98,22.57,3.31,0.01,0.0
237,4.090523,105.761765,58.38,13.61,2.62,11.67,0.37,3.28,25.71,4.1,0.2,0.01
238,4.090523,105.8449,6.84,11.64,0.85,8.0,2.37,3.74,28.73,2.44,0.01,0.1
239,4.090523,105.92804,0.4,59.9,5.99,5.17,3.41,6.78,32.86,3.56,0.12,0.0
240,4.173439,96.03485,1.42,0.0,0.0,2.3,28.83,0.0,7.64,0.02,1.47,3.38
241,4.173439,96.11799,1.12,0.54,0.0,6.22,7.31,3.88,1.65,0.0,0.03,0.57
242,4.173439,96.201126,4.48,0.07,0.0,4.02,6.8,5.88,9.04,0.05,0.0,3.73
243,4.173439,96.28426,5.31,0.49,0.01,0.28,38.6,13.48,17.3,5.93,0.01,6.01
244,4.173439,96.36739,15.04,8.67,0.85,0.25,48.1,31.28,12.88,7.17,0.02,9.92
245,4.173439,96.45053,13.33,32.21,37.14,6.25,29.87,38.22,30.64,35.45,0.82,7.29
246,4.173439,96.53367,42.08,51.47,6.33,40.2,31.93,29.07,60.03,10.54,11.39,9.3
247,4.173439,96.616806,13.79,68.32,6.5,34.23,24.86,24.27,65.14,14.69,2.75,28.39
248,4.173439,96.69994,7.66,17.9,1.35,12.71,29.83,25.06,66.23,15.82,0.59,15.49
249,4.173439,96.78308,14.12,61.98,7.78,20.42,16.94,10.54,65.97,19.84,12.52,16.3
250,4.173439,96.86621,25.56,19.01,4.27,53.2,34.01,7.38,23.56,33.03,2.1,10.98
251,4.173439,96.94935,10.11,18.93,0.75,14.65,32.63,11.13,15.77,11.44,1.29,18.25
252,4.173439,97.032486,14.43,1.28,2.09,17.47,4.48,10.13,46.97,21.17,6.62,93.32
253,4.173439,97.11562,0.37,1.26,3.88,40.77,7.57,6.08,42.23,20.5,5.5,35.03
